TITLE,AUTHOR,GENRE,MOOD / VIBE,SOURCE,FORMAT,STATUS,REREAD,SERIES,BOOK #,PAGES,PUB YEAR,RATING,START DATE,FINISH DATE,YEAR READ,DAYS READ,PAGES/DAY,NOTES
The Home Edit,"Clea Shearer, Joanna Teplin",Other Nonfiction,"Inspirational, Easy Read",Libby App,Ebook,Completed,FALSE,The Home Edit,1,256,2019,★★★☆☆,10/4/2025,10/11/2025,2025,8,32,
Everything is Tuberculosis,John Green,Other Nonfiction,"Thought Provoking, Deep/Complex",Libby App,Ebook,Completed,FALSE,,,208,2025,★★★★☆,9/22/2025,10/13/2025,2025,22,9.5,
Organizing for the Rest of Us,Dana K. White,Other Nonfiction,"Easy Read, Inspirational",Libby App,Ebook,Completed,FALSE,,,224,2022,★★★★☆,10/4/2025,10/19/2025,2025,16,14,
"Making Space, Clutter Free",Tracy McCubbin,Other Nonfiction,"Thought Provoking, Inspirational",Libby App,Ebook,Completed,FALSE,,,240,2019,★★★☆☆,10/4/2025,10/22/2025,2025,19,12.6,
The Home Edit: Stay Organized,"Clea Shearer, Joanna Teplin",Other Nonfiction,"Inspirational, Easy Read",Libby App,Ebook,Completed,FALSE,The Home Edit,3,256,2023,★★★☆☆,10/12/2025,10/22/2025,2025,11,23.3,
How to Manage Your Home Without Losing Your Mind,Dana K. White,Other Nonfiction,"Inspirational, Practical, Easy Read",Libby App,Ebook,Completed,FALSE,,,224,2016,★★★★☆,10/22/2025,11/6/2025,2025,16,14,
In the Family Way,Laney Katz Becker,Historical Fiction,"Character Driven, Reflective",Libby App,Ebook,Completed,FALSE,,,368,2021,★★★★☆,10/25/2025,11/6/2025,2025,13,28.3,
The Home Edit Life,"Clea Shearer, Joanna Teplin",Other Nonfiction,"Inspirational, Easy Read",Libby App,Ebook,Completed,FALSE,The Home Edit,2,256,2020,★★★☆☆,11/6/2025,11/9/2025,2025,4,64,
The Great Alone,Kristin Hannah,Historical Fiction,"Emotional Damage, Atmospheric, Character Driven",Libby App,Ebook,Completed,FALSE,,,448,2018,★★★★★,11/9/2025,11/30/2025,2025,22,20.4,
American Sky,Carolyn Dasher,Historical Fiction,"Small Town, Character Driven, Reflective",Purchased Ebook,Ebook,Completed,FALSE,,,336,2023,★★★★☆,,,2025,,,
Winter Garden,Kristin Hannah,Historical Fiction,"Emotional Damage, Character Driven, Bittersweet",Personally Owned,Physical Book,Completed,FALSE,,,394,2010,★★★★★,12/29/2025,1/1/2026,2026,4,98.5,
True Colors,Kristin Hannah,Contemporary Fiction,"Character Driven, Small Town, Bittersweet",Personally Owned,Physical Book,Completed,FALSE,,,393,2009,★★☆☆☆,1/5/2026,1/13/2026,2026,9,43.7,
